transport,layer,position,sign,n_pairs,n_template_families,mean_target_minus_matched,ci_low,ci_high
random_j_5,60,assistant_boundary,suppression,306,51,-0.05744881797665609,-0.07043988182857326,-0.044047360911597694
random_j_5,60,content_mean,amplification,306,51,0.05941173620179624,0.052337866390777935,0.06632971050070517
random_j_5,60,content_mean,suppression,306,51,-0.060324522242820484,-0.06702361774705601,-0.05359845928111824
random_j_5,60,last_content,amplification,306,51,0.038916207108877936,0.025165696997458745,0.05275040736866678
random_j_5,60,last_content,suppression,306,51,-0.03264400583491782,-0.04482654270915173,-0.020595302610988905
random_j_5,65,assistant_boundary,amplification,306,51,-0.17505932678507044,-0.1960086884052092,-0.15411688277555524
random_j_5,65,assistant_boundary,suppression,306,51,0.14851163619210175,0.12578681678157286,0.1713263417190462
random_j_5,65,content_mean,amplification,306,51,-0.1667792476158973,-0.17599954573789525,-0.15799848078572457
random_j_5,65,content_mean,suppression,306,51,0.15173013136627797,0.14362763735413203,0.15988461547531183
random_j_5,65,last_content,amplification,306,51,-0.12239581964768508,-0.1378025060889461,-0.10739043587666565
random_j_5,65,last_content,suppression,306,51,0.10937636476211719,0.09424489122998327,0.12523864439684906
random_j_5,70,assistant_boundary,amplification,306,51,0.017556099661662442,-0.0005531921509495069,0.03691067336754131
random_j_5,70,assistant_boundary,suppression,306,51,-0.028976905800697395,-0.04780553748275327,-0.01108072722459851
